JourneyCode,HolidayType,Price,NumberOfPersons,Region,Transportation,Duration,Season,Accommodation,Hotel
24,Recreation,978,2,Belgium,Car,7,August,ThreeStars,"Acces Hotel Mercure, Belgium"
25,Active,1448,3,Belgium,Car,14,September,HolidayFlat,"H.Flat, Belgium"
26,Recreation,1638,4,Belgium,Car,14,June,HolidayFlat,"H.Flat, Belgium"
27,Recreation,1079,4,Belgium,Car,7,July,HolidayFlat,"H.Flat, Belgium"
28,Bathing,499,4,Belgium,Car,3,August,HolidayFlat,"H.Flat, Belgium"
29,Bathing,399,6,Belgium,Car,3,September,HolidayFlat,"H.Flat, Belgium"
30,Recreation,1928,2,Belgium,Train,14,July,ThreeStars,"Acces Hotel Mercure, Belgium"
31,Bathing,1598,2,Bulgaria,Plane,14,June,TwoStars,"Hotel Amfibia, Sunny Beach"
32,Bathing,2043,3,Bulgaria,Plane,14,July,TwoStars,"Hotel Hemus, Sunny Beach"
33,Bathing,1658,4,Bulgaria,Plane,7,August,TwoStars,"Hotel Raliza, Albena"
34,Bathing,1558,2,Bulgaria,Plane,7,July,ThreeStars,"Hotel Phoenix, Sunny Beach"
35,Active,1718,2,Bulgaria,Plane,14,June,ThreeStars,"Hotel Nessebar, Sunny Beach"
36,Bathing,1383,3,Bulgaria,Plane,7,August,ThreeStars,"Hotel Gergana, Albena"
37,Bathing,3628,4,Bulgaria,Plane,21,August,ThreeStars,"Hotel Orlav, Albena"
38,Active,2739,3,Bulgaria,Plane,14,July,FourStars,"Hotel Burgas, Sunny Beach"
39,Bathing,2399,2,Bulgaria,Plane,14,September,FourStars,"Grandhotel Varna, Albena"
40,Bathing,2273,3,Bornholm,Car,14,August,HolidayFlat,H.Flat Bornholm
41,Bathing,1729,5,Bornholm,Car,7,July,HolidayFlat,H.Flat Bornholm
42,Bathing,1389,4,Bornholm,Car,7,July,HolidayFlat,H.Flat Bornholm
43,Recreation,968,6,Bornholm,Car,14,April,HolidayFlat,H.Flat Bornholm
44,Recreation,489,6,Bornholm,Car,7,May,HolidayFlat,H.Flat Bornholm
45,Recreation,489,6,Bornholm,Car,7,September,HolidayFlat,H.Flat Bornholm
46,Bathing,2838,4,Fano,Car,14,July,HolidayFlat,H.Flat Fano
47,Bathing,1399,6,Fano,Car,7,August,HolidayFlat,H.Flat Fano
48,Recreation,958,6,Fano,Car,14,September,HolidayFlat,H.Flat Fano
49,Recreation,579,3,Fano,Car,7,June,HolidayFlat,H.Flat Romo
50,Recreation,789,5,Fano,Car,7,May,HolidayFlat,H.Flat Romo
51,Recreation,2839,10,Fano,Car,7,July,HolidayFlat,H.Flat Romo
52,Bathing,629,6,Lolland,Car,7,August,HolidayFlat,H.Flat Lolland
53,Bathing,1598,4,Lolland,Car,14,July,HolidayFlat,H.Flat Lolland
54,Recreation,429,8,Lolland,Car,7,September,HolidayFlat,H.Flat Lolland
55,Recreation,648,2,Allgaeu,Car,7,June,TwoStars,"Gasthaus Meier, Allgaeu"
56,Wandering,972,4,Allgaeu,Car,7,July,TwoStars,"Gasthaus Alpenland, Allgaeu"
57,Recreation,1060,3,Allgaeu,Car,7,August,ThreeStars,"Hotel Alpspitz, Allgaeu"
58,Wandering,2110,3,Allgaeu,Train,14,July,ThreeStars,"Hotel Alpspitz, Allgaeu"
59,Active,1835,2,Allgaeu,Car,14,June,FiveStars,"Hofgut Kuernach, Allgaeu"
60,Wandering,951,2,Allgaeu,Car,7,September,FiveStars,"Hofgut Kuernach, Allgaeu"
61,Recreation,794,4,Allgaeu,Train,7,August,HolidayFlat,"H.Flat, Allgaeu"
62,Active,814,6,Allgaeu,Car,7,July,HolidayFlat,"H.Flat, Allgaeu"
63,Wandering,1568,4,Allgaeu,Car,14,June,HolidayFlat,"H.Flat, Allgaeu"
64,Wandering,644,4,Allgaeu,Car,7,July,HolidayFlat,"H.Flat, Allgaeu"
65,Recreation,648,2,Alps,Car,7,June,TwoStars,"Pension Blueml, Upper Bavaria"
66,Wandering,2232,3,Alps,Car,14,July,TwoStars,"Pension Blueml, Upper Bavaria"
67,Recreation,2082,4,Alps,Car,7,August,ThreeStars,"Hotel Chiemgauer Hof, Upper Bavaria"
68,Recreation,5185,3,Alps,Car,21,June,ThreeStars,"Hotel Chiemgauer Hof, Upper Bavaria"
69,Active,2368,2,Alps,Train,14,September,ThreeStars,"Hotel Chiemgauer Hof, Upper Bavaria"
70,Recreation,3758,2,Alps,Car,21,July,FourStars,"Hotel Zur Post, Upper Bavaria"
71,Recreation,3135,3,Alps,Car,14,August,FourStars,"Hotel Zur Post, Upper Bavaria"
72,Wandering,3762,4,Alps,Car,14,July,FourStars,"Hotel Zur Post, Upper Bavaria"
73,Recreation,1254,4,Alps,Car,7,June,HolidayFlat,H.Flat Upper Bavaria
74,Recreation,814,6,Alps,Train,7,August,HolidayFlat,H.Flat Upper Bavaria
75,Recreation,1361,2,Bavaria,Car,14,September,HolidayFlat,H.Flat Upper Bavaria
76,Recreation,1618,4,Bavaria,Car,14,May,HolidayFlat,H.Flat Upper Bavaria
77,Recreation,1728,2,Bavaria,Train,14,July,HolidayFlat,H.Flat Upper Bavaria
78,Wandering,609,3,Bavaria,Car,7,June,HolidayFlat,H.Flat Upper Bavaria
79,Wandering,1069,6,Bavaria,Car,7,August,HolidayFlat,H.Flat Upper Bavaria
80,Wandering,684,4,Bavaria,Car,7,September,HolidayFlat,H.Flat Upper Bavaria
81,Active,1328,4,Bavaria,Train,14,May,HolidayFlat,H.Flat Upper Bavaria
82,Active,779,2,Bavaria,Car,7,June,HolidayFlat,H.Flat Upper Bavaria
83,Active,1639,5,Bavaria,Car,7,July,HolidayFlat,H.Flat Upper Bavaria
84,Wandering,944,8,Bavaria,Car,7,August,HolidayFlat,H.Flat Upper Bavaria
85,Wandering,758,2,ErzGebirge,Car,7,June,TwoStars,"Wolfsgruener Schloss, Erz Gebirge"
86,Wandering,758,3,ErzGebirge,Car,7,July,TwoStars,"Wolfsgruener Schloss, Erz Gebirge"
87,Recreation,1885,4,ErzGebirge,Car,14,August,TwoStars,"Wolfsgruener Schloss, Erz Gebirge"
88,Recreation,758,3,ErzGebirge,Car,7,September,TwoStars,"Wolfsgruener Schloss, Erz Gebirge"
89,Wandering,1828,2,ErzGebirge,Car,14,May,ThreeStars,"Hotel Am Fichtelberg, Erz Gebirge"
90,Wandering,918,2,ErzGebirge,Train,7,July,ThreeStars,"Hotel Am Fichtelberg, Erz Gebirge"
91,Wandering,2738,3,ErzGebirge,Car,21,June,ThreeStars,"Hotel Am Fichtelberg, Erz Gebirge"
92,Recreation,1828,3,ErzGebirge,Car,14,September,ThreeStars,"Sporthotel, Erz Gebirge"
93,Recreation,918,2,ErzGebirge,Car,7,May,ThreeStars,"Sporthotel, Erz Gebirge"
94,Wandering,1580,4,ErzGebirge,Train,7,August,FourStars,"Kur- und Sporthotel, Erz Gebirge"
95,Wandering,958,2,ErzGebirge,Car,7,July,FourStars,"Kur- und Sporthotel, Erz Gebirge"
96,Wandering,2385,3,ErzGebirge,Car,14,June,FourStars,"Kur- und Sporthotel, Erz Gebirge"
97,Recreation,1372,3,ErzGebirge,Car,7,August,FourStars,"Hotel Panorama, Erz Gebirge"
98,Recreation,2188,2,ErzGebirge,Car,14,September,FourStars,"Hotel Panorama, Erz Gebirge"
99,Active,1098,2,ErzGebirge,Car,7,August,FourStars,"Hotel Panorama, Erz Gebirge"
100,Recreation,478,2,Harz,Car,7,May,TwoStars,"Hotel Brockenscheideck, Harz"
101,Wandering,948,2,Harz,Train,14,June,TwoStars,"Hotel Brockenscheideck, Harz"
102,Recreation,1072,3,Harz,Car,7,July,ThreeStars,"Hotel Waldfrieden, Harz"
103,Recreation,1501,4,Harz,Car,7,August,ThreeStars,"Hotel Waldfrieden, Harz"
104,Recreation,1868,2,Harz,Car,14,September,ThreeStars,"Hotel Waldfrieden, Harz"
105,Wandering,1172,3,Harz,Car,7,May,ThreeStars,"Hotel Waldfrieden, Harz"
106,Recreation,1888,2,Harz,Car,7,June,FiveStars,"Hotel Maritim, Harz"
107,Recreation,1888,3,Harz,Train,7,July,FiveStars,"Hotel Maritim, Harz"
108,Wandering,3768,2,Harz,Car,14,May,FiveStars,"Hotel Maritim, Harz"
109,Recreation,484,2,Harz,Car,7,August,HolidayFlat,H.Flat Harz
110,Recreation,374,4,Harz,Car,7,September,HolidayFlat,H.Flat Harz
111,Recreation,589,3,Harz,Car,7,June,HolidayFlat,H.Flat Harz
112,Wandering,719,4,Harz,Train,7,July,HolidayFlat,H.Flat Harz
113,Wandering,1248,4,Harz,Car,14,August,HolidayFlat,H.Flat Harz
114,Bathing,398,2,NorthSea,Car,7,July,OneStar,"Pension Murra, North Sea"
115,Recreation,398,2,NorthSea,Car,7,June,OneStar,"Pension Murra, North Sea"
116,Bathing,1348,3,NorthSea,Car,7,July,TwoStars,"Pension Nina, North Sea"
117,Bathing,1348,2,NorthSea,Car,7,August,TwoStars,"Pension Nina, North Sea"
118,Recreation,3228,2,NorthSea,Car,14,May,TwoStars,"Hotel Silbermoeve, North Sea"
119,Recreation,1618,2,NorthSea,Train,7,September,TwoStars,"Hotel Silbermoeve, North Sea"
120,Bathing,719,4,NorthSea,Car,7,August,HolidayFlat,H.Flat North Sea
121,Bathing,669,6,NorthSea,Car,7,July,HolidayFlat,H.Flat North Sea
122,Bathing,2108,4,NorthSea,Car,14,August,HolidayFlat,H.Flat North Sea
123,Recreation,579,4,NorthSea,Train,7,June,HolidayFlat,H.Flat North Sea
124,Recreation,664,5,NorthSea,Car,7,July,HolidayFlat,H.Flat North Sea
125,Recreation,1138,4,NorthSea,Car,14,August,HolidayFlat,H.Flat North Sea
126,Active,2198,3,NorthSea,Car,14,September,HolidayFlat,H.Flat North Sea
127,Recreation,1044,6,NorthSea,Train,7,June,HolidayFlat,H.Flat North Sea
128,Active,719,3,NorthSea,Car,7,August,HolidayFlat,H.Flat Sylt
129,Bathing,1828,2,BalticSea,Car,14,July,TwoStars,"Hotel Stoertebeker, Zingst"
130,Bathing,918,3,BalticSea,Car,7,August,TwoStars,"Hotel Stoertebeker, Zingst"
131,Recreation,918,2,BalticSea,Car,7,June,TwoStars,"Hotel Am Leuchtturm, Warnemuende"
132,Recreation,1147,3,BalticSea,Train,7,September,TwoStars,"Hotel Am Leuchtturm, Warnemuende"
133,Bathing,1047,3,BalticSea,Car,7,July,ThreeStars,"Hotel Baltic, Usedom"
134,Bathing,2472,4,BalticSea,Car,14,August,ThreeStars,"Hotel Baltic, Usedom"
135,Recreation,2226,3,BalticSea,Car,14,June,ThreeStars,"NobisHotel, Ruegen"
136,Bathing,1438,2,BalticSea,Car,7,August,FourStars,"Ostseehotel, Wustrow"
137,Active,1797,3,BalticSea,Car,7,July,FourStars,"Ostseehotel, Wustrow"
138,Bathing,1044,4,BalticSea,Train,7,August,HolidayFlat,H.Flat Baltic Sea
139,Bathing,639,2,BalticSea,Car,7,August,HolidayFlat,H.Flat Fehmarn
140,Bathing,1818,2,BalticSea,Car,14,July,HolidayFlat,"H.Flat, Ruegen"
141,Recreation,539,4,BalticSea,Car,7,June,HolidayFlat,H.Flat Baltic Sea
142,Recreation,709,6,BalticSea,Car,7,May,HolidayFlat,H.Flat Baltic Sea
143,Active,994,4,BalticSea,Train,14,July,HolidayFlat,H.Flat Baltic Sea
144,Wandering,547,3,BlackForest,Car,7,May,TwoStars,"Hotel Hirschen, Black Forest"
145,Recreation,868,2,BlackForest,Car,14,June,TwoStars,"Hotel Hirschen, Black Forest"
146,Wandering,907,3,BlackForest,Car,7,July,ThreeStars,"Hotel Waldwinkel, Black Forest"
147,Wandering,698,2,BlackForest,Car,14,August,ThreeStars,"Hotel Waldwinkel, Black Forest"
148,Wandering,738,2,BlackForest,Train,7,September,ThreeStars,"Berghotel Kandel, Black Forest"
149,Recreation,922,3,BlackForest,Car,7,August,ThreeStars,"Berghotel Kandel, Black Forest"
150,Wandering,3732,4,BlackForest,Car,14,July,FourStars,"Kurhotel, Black Forest"
151,Recreation,1138,2,BlackForest,Car,7,June,FourStars,"Kurhotel, Black Forest"
152,Wandering,449,2,BlackForest,Train,7,May,HolidayFlat,H.Flat Black Forest
153,Wandering,459,5,BlackForest,Car,7,June,HolidayFlat,H.Flat Black Forest
154,Wandering,1039,3,BlackForest,Car,7,July,HolidayFlat,H.Flat Black Forest
155,Wandering,2538,3,BlackForest,Car,14,August,HolidayFlat,H.Flat Black Forest
156,Recreation,1313,2,BlackForest,Car,14,September,HolidayFlat,H.Flat Black Forest
157,Recreation,904,6,BlackForest,Car,7,October,HolidayFlat,H.Flat Black Forest
158,Recreation,984,7,BlackForest,Train,7,July,HolidayFlat,H.Flat Black Forest
159,Recreation,638,2,Thuringia,Car,7,May,ThreeStars,"Berghotel Oberhof, Thuringia"
160,Recreation,922,3,Thuringia,Car,7,August,ThreeStars,"Berghotel Oberhof, Thuringia"
161,Active,998,2,Thuringia,Car,7,June,ThreeStars,"Hotel Finsterbergen, Thuringia"
162,Wandering,2588,3,Thuringia,Car,14,July,ThreeStars,"Hotel Finsterbergen, Thuringia"
163,Wandering,1377,4,Thuringia,Train,7,August,FourStars,"Hotel Rennsteig, Thuringia"
164,Recreation,918,2,Thuringia,Car,7,September,FourStars,"Hotel Rennsteig, Thuringia"
165,Active,2285,3,Thuringia,Car,14,August,FourStars,"Hotel Rennsteig, Thuringia"
166,Recreation,2668,2,Thuringia,Car,14,October,FourStars,"Hotel Panorama, Thuringia"
167,Active,1497,3,Thuringia,Car,7,August,FourStars,"Hotel Panorama, Thuringia"
168,Active,2388,3,Thuringia,Car,14,August,FourStars,"Hotel Panorama, Thuringia"
169,Recreation,589,4,Thuringia,Car,7,July,HolidayFlat,H.Flat Thuringia
170,Recreation,1128,4,Thuringia,Train,14,June,HolidayFlat,H.Flat Thuringia
171,Recreation,589,4,Thuringia,Car,7,May,HolidayFlat,H.Flat Thuringia
172,Recreation,1148,4,Thuringia,Car,14,July,HolidayFlat,H.Flat Thuringia
173,Wandering,574,4,Thuringia,Car,7,August,HolidayFlat,H.Flat Thuringia
174,Bathing,858,4,Atlantic,Car,14,May,HolidayFlat,"H.Flat Atlantik, France"
175,Bathing,2078,4,Atlantic,Car,14,June,HolidayFlat,"H.Flat Atlantik, France"
176,Bathing,4718,7,Atlantic,Car,14,July,HolidayFlat,"H.Flat Atlantik, France"
177,Bathing,1698,4,Atlantic,Car,14,August,HolidayFlat,"H.Flat Atlantik, France"
178,Bathing,649,6,Atlantic,Car,7,September,HolidayFlat,"H.Flat Atlantik, France"
179,Bathing,394,3,Atlantic,Car,7,June,HolidayFlat,"H.Flat Atlantik, France"
180,Bathing,1289,5,Atlantic,Car,7,July,HolidayFlat,"H.Flat Atlantik, France"
181,Bathing,879,4,Atlantic,Car,7,August,HolidayFlat,"H.Flat Atlantik, France"
182,Bathing,1347,3,Atlantic,Car,21,May,HolidayFlat,"H.Flat Atlantik, France"
183,Active,838,5,Atlantic,Car,14,June,HolidayFlat,"H.Flat Atlantik, France"
184,Active,1938,6,Atlantic,Car,14,July,HolidayFlat,"H.Flat Atlantik, France"
185,Active,849,6,Atlantic,Car,7,August,HolidayFlat,"H.Flat Atlantik, France"
186,Active,1204,8,Atlantic,Car,7,June,HolidayFlat,"H.Flat Atlantik, France"
187,Recreation,2878,8,Atlantic,Car,14,July,HolidayFlat,"H.Flat Atlantik, France"
188,Recreation,2187,2,Atlantic,Car,21,August,HolidayFlat,"H.Flat Atlantik, France"
189,Bathing,519,2,CotedAzur,Car,7,April,HolidayFlat,H.Flat Cote d'Azur
190,Bathing,479,3,CotedAzur,Car,7,May,HolidayFlat,H.Flat Cote d'Azur
191,Bathing,829,7,CotedAzur,Car,7,June,HolidayFlat,H.Flat Cote d'Azur
192,Bathing,1089,5,CotedAzur,Car,7,July,HolidayFlat,H.Flat Cote d'Azur
193,Bathing,1029,5,CotedAzur,Car,7,August,HolidayFlat,H.Flat Cote d'Azur
194,Bathing,799,6,CotedAzur,Car,7,September,HolidayFlat,H.Flat Cote d'Azur
195,Bathing,449,4,CotedAzur,Train,7,October,HolidayFlat,H.Flat Cote d'Azur
196,Bathing,1198,4,CotedAzur,Car,14,May,HolidayFlat,H.Flat Cote d'Azur
197,Bathing,1108,4,CotedAzur,Train,14,June,HolidayFlat,H.Flat Cote d'Azur
198,Bathing,4458,7,CotedAzur,Car,14,July,HolidayFlat,H.Flat Cote d'Azur
199,Active,2678,3,CotedAzur,Car,14,August,HolidayFlat,H.Flat Cote d'Azur
200,Active,1598,4,CotedAzur,Car,14,September,HolidayFlat,H.Flat Cote d'Azur
201,Active,589,6,CotedAzur,Car,7,May,HolidayFlat,H.Flat Cote d'Azur
202,Recreation,449,2,CotedAzur,Train,7,June,HolidayFlat,H.Flat Cote d'Azur
203,Recreation,1838,3,CotedAzur,Car,14,July,HolidayFlat,H.Flat Cote d'Azur
204,Bathing,1539,2,Corsica,Plane,14,May,OneStar,Caravan La Pinede
205,Bathing,2469,3,Corsica,Plane,14,June,OneStar,Hotel L'Esquinade
206,Bathing,5269,4,Corsica,Plane,14,July,TwoStars,Feriendorf Vallicella
207,Bathing,2249,3,Corsica,Plane,21,June,TwoStars,Mobilhomes La Pinede
208,Bathing,1898,2,Corsica,Plane,7,August,TwoStars,Hotel Funtana Marina
209,Bathing,3522,4,Corsica,Plane,7,July,TwoStars,Feriendorf Vallicella
210,Bathing,3459,3,Corsica,Plane,14,August,ThreeStars,Calvi-Hotel
211,Bathing,2539,2,Corsica,Plane,14,September,ThreeStars,Studios Le Rocher
212,Bathing,5659,3,Corsica,Plane,21,July,ThreeStars,Hotel Pineto
213,Bathing,3298,2,Corsica,Plane,14,June,ThreeStars,Hotel Orizonte
214,Active,2718,2,Corsica,Plane,14,September,ThreeStars,Grand Hotel
215,Active,5678,3,Corsica,Plane,21,August,ThreeStars,Grand Hotel
216,Active,2038,2,Corsica,Plane,14,June,TwoStars,Mobilhomes La Pinede
217,Wandering,634,1,Corsica,Plane,7,April,TwoStars,Mobilhomes La Pinede
218,Wandering,2578,2,Corsica,Plane,14,May,ThreeStars,Grand Hotel
219,Bathing,659,4,Normandy,Car,7,June,HolidayFlat,H.Flat Normandy
220,Bathing,709,2,Normandy,Car,7,July,HolidayFlat,H.Flat Normandy
221,Active,809,4,Normandy,Car,7,August,HolidayFlat,H.Flat Normandy
222,Active,1418,2,Normandy,Car,14,August,HolidayFlat,H.Flat Normandy
223,Recreation,1618,4,Normandy,Car,14,July,HolidayFlat,H.Flat Normandy
224,Bathing,689,4,Brittany,Car,7,June,HolidayFlat,H.Flat Brittany
225,Bathing,1549,7,Brittany,Car,7,July,HolidayFlat,H.Flat Brittany
226,Bathing,1064,5,Brittany,Car,7,August,HolidayFlat,H.Flat Brittany
227,Bathing,519,4,Brittany,Car,7,September,HolidayFlat,H.Flat Brittany
228,Active,1219,6,Brittany,Car,7,August,HolidayFlat,H.Flat Brittany
229,Active,889,4,Brittany,Car,7,July,HolidayFlat,H.Flat Brittany
230,Active,1268,4,Brittany,Car,14,June,HolidayFlat,H.Flat Brittany
231,Recreation,2108,5,Brittany,Car,14,July,HolidayFlat,H.Flat Brittany
232,Recreation,1258,4,Brittany,Car,14,August,HolidayFlat,H.Flat Brittany
233,Recreation,1797,4,Brittany,Car,21,June,HolidayFlat,H.Flat Brittany
234,Bathing,3485,3,Attica,Plane,14,May,FourStars,"Hotel Golden Coast, Attica"
235,Bathing,2038,2,Attica,Plane,14,April,TwoStars,"Hotel Calamos Beach, Attica"
236,Bathing,3129,4,Attica,Plane,7,September,ThreeStars,"Hotel Kalypso Club, Attica"
237,Bathing,2518,2,Attica,Plane,14,June,ThreeStars,"Hotel Menexelis, Attica"
238,Bathing,3215,3,Attica,Plane,14,July,ThreeStars,"Hotel Miramare, Attica"
239,Bathing,4002,3,Attica,Plane,21,September,FourStars,"Hotel Holidays in Evia, Attica"
240,Bathing,3216,4,Attica,Plane,7,August,ThreeStars,"Hotel Menexelis, Attica"
241,Bathing,1149,1,Attica,Plane,14,June,TwoStars,"Hotel Calamos Beach, Attica"
242,Bathing,3658,2,Attica,Plane,14,July,FourStars,"Hotel Golden Coast, Attica"
243,Bathing,3458,2,Attica,Plane,21,August,ThreeStars,"Hotel Menexelis, Attica"
244,Bathing,2742,3,Attica,Plane,14,July,TwoStars,"Hotel Calamos Beach, Attica"
245,Recreation,2258,2,Attica,Plane,7,June,FourStars,"Hotel Golden Coast, Attica"
246,Recreation,1169,1,Attica,Plane,14,September,ThreeStars,"Hotel Miramare, Attica"
247,Recreation,3215,3,Attica,Plane,14,August,ThreeStars,"Hotel Miramare, Attica"
248,Recreation,3378,2,Attica,Plane,21,May,FourStars,"Hotel Golden Coast, Attica"
249,Bathing,2787,3,Chalkidiki,Plane,14,July,TwoStars,"Hotel Sermyli, Chalkidiki"
250,Bathing,4673,4,Chalkidiki,Plane,14,August,ThreeStars,"Hotel Portes Beach, Chalkidiki"
251,Bathing,2898,2,Chalkidiki,Plane,21,September,ThreeStars,"Hotel Mendi, Chalkidiki"
252,Bathing,2538,2,Chalkidiki,Plane,14,June,ThreeStars,"Hotel Olympico, Chalkidiki"
253,Bathing,2427,3,Chalkidiki,Plane,7,July,ThreeStars,"Hotel Olympico, Chalkidiki"
254,Recreation,2358,2,Chalkidiki,Plane,14,May,ThreeStars,"Hotel Olympico, Chalkidiki"
255,Recreation,2898,2,Chalkidiki,Plane,21,September,ThreeStars,"Hotel Mendi, Chalkidiki"
256,Recreation,2398,2,Chalkidiki,Plane,14,June,ThreeStars,"Hotel Mendi, Chalkidiki"
257,Active,3718,3,Chalkidiki,Plane,14,July,FourStars,"Hotel Sani Beach, Chalkidiki"
258,Active,3299,3,Chalkidiki,Plane,7,August,FourStars,"Hotel Sani Beach, Chalkidik"
259,Active,3318,2,Chalkidiki,Plane,14,June,FourStars,"Hotel Sani Beach, Chalkidik"
260,Recreation,5329,4,Chalkidiki,Plane,14,July,FourStars,"Hotel Athos Palace, Chalkidiki"
261,Recreation,3258,2,Chalkidiki,Plane,21,May,FourStars,"Hotel Athos Palace, Chalkidiki"
262,Recreation,3038,2,Chalkidiki,Plane,14,September,FourStars,"Hotel Athos Palace, Chalkidiki"
263,Education,2738,2,Chalkidiki,Plane,21,October,FourStars,"Hotel Athos Palace, Chalkidiki"
264,Bathing,2831,3,Corfu,Plane,14,June,TwoStars,"Hotel Iliada, Corfu"
265,Bathing,3644,4,Corfu,Plane,14,July,TwoStars,"Hotel Iliada, Corfu"
266,Bathing,3258,2,Corfu,Plane,21,September,ThreeStars,"Hotel Belvedere, Corfu"
267,Bathing,3793,3,Corfu,Plane,14,August,ThreeStars,"Hotel Belvedere, Corfu"
268,Bathing,2779,3,Corfu,Plane,7,August,ThreeStars,"Hotel Belvedere, Corfu"
269,Bathing,2698,2,Corfu,Plane,14,June,ThreeStars,"Hotel Coral, Corfu"
270,Bathing,3649,3,Corfu,Plane,21,September,ThreeStars,"Hotel Coral, Corfu"
271,Bathing,3078,2,Corfu,Plane,14,July,ThreeStars,"Hotel Coral, Corfu"
272,Bathing,3198,2,Corfu,Plane,14,September,ThreeStars,"Hotel Mirabell, Corfu"
273,Active,3758,2,Corfu,Plane,21,June,ThreeStars,"Hotel Mirabell, Corfu"
274,Active,3198,3,Corfu,Plane,14,August,ThreeStars,"Hotel Mirabell, Corfu"
275,Active,2158,2,Corfu,Plane,7,July,FourStars,"Hotel Regency, Corfu"
276,Recreation,3418,2,Corfu,Plane,21,June,FourStars,"Hotel Regency, Corfu"
277,Recreation,3038,2,Corfu,Plane,14,September,FourStars,"Hotel Kerkyra Golf, Corfu"
278,Recreation,2043,3,Corfu,Plane,7,May,FourStars,"Hotel Kerkyra Golf, Corfu"
279,Bathing,2498,2,Crete,Plane,14,June,TwoStars,"Hotel Oceanis, Crete"
280,Bathing,2417,3,Crete,Plane,14,July,TwoStars,"Hotel Ilios, Crete"
281,Active,2825,4,Crete,Plane,7,August,TwoStars,"Hotel Oceanis, Crete"
282,Bathing,3498,2,Crete,Plane,14,September,ThreeStars,"Hotel Creta Beach, Crete"
283,Bathing,4198,2,Crete,Plane,21,June,ThreeStars,"Hotel Creta Beach, Crete"
284,Bathing,3847,3,Crete,Plane,14,August,ThreeStars,"Hotel Creta Beach, Crete"
285,Bathing,3175,4,Crete,Plane,7,July,ThreeStars,"Hotel Gortyna, Crete"
286,Active,3038,2,Crete,Plane,14,September,ThreeStars,"Hotel Gortyna, Crete"
287,Active,2758,2,Crete,Plane,14,June,ThreeStars,"Hotel Gortyna, Crete"
288,Bathing,3198,2,Crete,Plane,14,June,FourStars,"Hotel Fodele Beach, Crete"
289,Bathing,2298,2,Crete,Plane,7,May,FourStars,"Hotel Fodele Beach, Crete"
290,Bathing,6609,3,Crete,Plane,21,July,FourStars,"Hotel Bali Paradise, Crete"
291,Active,4068,3,Crete,Plane,14,August,FourStars,"Hotel Bali Paradise, Crete"
292,Active,4463,3,Crete,Plane,21,June,FourStars,"Hotel Europa Beach, Crete"
293,Education,3038,2,Crete,Plane,14,May,FourStars,"Hotel Europa Beach, Crete"
294,Bathing,2263,3,Rhodes,Plane,14,May,TwoStars,"Studios Argiro, Rhodes"
295,Bathing,2428,2,Rhodes,Plane,21,June,TwoStars,"Studios Argiro, Rhodes"
296,Bathing,2263,3,Rhodes,Plane,7,July,ThreeStars,"Hotel Dafni, Rhodes"
297,Bathing,3553,4,Rhodes,Plane,14,August,ThreeStars,"Hotel Dafni, Rhodes"
